"Accepted Symbol","Synonym Symbol","Scientific Name","Invasive","C:N Ratio","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Commercial Availability","Propogated by Seed","Palatable Browse Animal"
"LADE2","","Larix decidua","","High","Moderate","20","99","No","None","Yes","Yes","90","Medium","6.0","7.0","30","80","40","Intolerant","-38","Routinely Available","Yes","Low"
"LAKA2","","Larix kaempferi","","High","Rapid","20","98","No","None","Yes","Yes","180","Medium","6.0","7.5","25","80","20","Intolerant","-38","Routinely Available","Yes","Low"
"LALA","","Larix laricina","","High","Rapid","20","80","No","None","Yes","Yes","73","Medium","5.5","6.5","7","55","12","Intolerant","-79","Routinely Available","Yes","Low"
"LEGL","","Ledum glandulosum","","High","Slow","4","4.5","Yes","None","No","Yes","120","Medium","4.6","7.0","14","50","18","Tolerant","-28","Routinely Available","Yes",""
"LEGR","","Ledum groenlandicum","","","Slow","2","3.0","No","None","No","Yes","95","Medium","5.0","7.0","12","50","18","Intermediate","-33","Routinely Available","Yes","Low"
"LEOR","","Leersia oryzoides","","","Moderate","","4.9","No","None","Yes","Yes","110","High","5.1","8.8","12","50","14","Intolerant","-33","Routinely Available","No",""
"LEVI2","","Leersia virginica","","","Moderate","","3.9","No","None","Yes","Yes","120","Medium","4.5","8.5","15","65","4","Tolerant","-43","Routinely Available","No","High"
"LEMI3","","Lemna minor","","","Rapid","","","No","None","No","No","100","High","4.1","8.8","","","0","Intolerant","-38","Routinely Available","Yes",""
"LETR","","Lemna trisulca","","Low","Rapid","","0.3","No","None","No","No","145","High","5.7","7.0","","","0","Intolerant","-38","Routinely Available","No",""
"LEDU","","Leptochloa dubia","","Medium","Rapid","","3.0","No","None","Yes","Yes","210","Medium","6.0","8.0","12","24","14","Intolerant","-13","Routinely Available","Yes","Medium"
"LELE10","","Leucaena leucocephala","FLEPPC, HEAR","High","Rapid","15","20","Yes","High","Yes","Yes","365","Low","5.0","8.7","15","80","4","Intolerant","25","Routinely Available","Yes","High"
"LEAX","","Leucothoe axillaris","","Medium","Slow","6","6.5","Yes","None","Yes","Yes","200","Low","3.5","7.0","40","55","15","Tolerant","2","Routinely Available","Yes","Medium"
"LEAN3","","Leymus angustus","","Low","Rapid","","3.0","No","None","Yes","Yes","90","High","5.9","9.0","12","18","16","Intolerant","-43","Routinely Available","Yes","High"
"LEAR11","","Leymus arenarius","","Medium","Rapid","","3.0","No","None","Yes","Yes","200","Medium","5.7","6.5","34","60","16","Intolerant","7","Routinely Available","Yes","Low"
"LECI4","","Leymus cinereus","","Medium","Moderate","","5.0","No","None","Yes","Yes","90","High","5.6","9.0","8","20","20","Intolerant","-43","Routinely Available","Yes","Low"
"LEMOM2","","Leymus mollis ssp. mollis","","High","Rapid","","4.0","No","None","Yes","No","150","Medium","6.0","8.0","30","60","16","Intolerant","7","Routinely Available","No","Low"
"LERA5","","Leymus racemosus","","High","Rapid","","3.0","No","None","Yes","Yes","120","Medium","6.0","9.0","10","60","16","Intolerant","-33","Routinely Available","Yes","Low"
"LETR5","","Leymus triticoides","","Medium","Rapid","","3.0","No","None","No","Yes","110","High","6.0","9.0","7","60","10","Intolerant","-43","Routinely Available","Yes","Medium"
"LIPU","","Liatris punctata","","Medium","Slow","","2.0","No","None","Yes","Yes","120","Medium","6.0","7.8","18","26","14","Intolerant","-43","Routinely Available","Yes","High"
"LIPY","","Liatris pycnostachya","","Medium","Moderate","","3.5","No","None","Yes","Yes","120","Medium","6.0","8.5","16","30","14","Intolerant","-33","Routinely Available","Yes","Medium"
"LISP","","Liatris spicata","","High","Slow","","4.5","No","None","No","Yes","165","Medium","5.6","7.5","35","60","14","Intermediate","-18","Routinely Available","Yes","Low"
"LIAM","","Ligustrum amurense","","High","Moderate","12","12","No","None","No","Yes","130","Medium","5.8","7.5","34","70","20","Intermediate","-38","Routinely Available","Yes","Low"
"LIJA","","Ligustrum japonicum","","High","Rapid","10","10","Yes","None","Yes","Yes","100","Low","5.5","6.9","30","80","18","Tolerant","-13","Routinely Available","Yes","Low"
"LIOV","","Ligustrum ovalifolium","STATE","High","Rapid","16","16","Yes","None","No","Yes","160","Medium","5.9","7.7","34","70","20","Intolerant","-3","Routinely Available","Yes","Low"
"LIVU","","Ligustrum vulgare","SEEPPC, WI","Medium","Rapid","12","12","No","None","No","Yes","130","Medium","5.0","7.5","18","50","2","Intermediate","-38","Routinely Available","Yes","Low"
"LIBE3","","Lindera benzoin","","Medium","Slow","12","12","No","None","No","Yes","120","Medium","4.5","6.0","32","50","18","Intermediate","-23","Routinely Available","Yes","Medium"
"LILE3","","Linum lewisii","","Medium","Moderate","","2.5","No","None","Yes","Yes","95","Medium","5.6","8.4","10","20","14","Intolerant","-36","Routinely Available","Yes","Low"
"LIMI6","","Lippia micromera","","High","","2","2.5","No","None","Yes","Yes","365","","6.1","7.8","29","80","12","Intolerant","40","Routinely Available","Yes",""
"LIST2","","Liquidambar styraciflua","","High","Rapid","45","100","No","None","Yes","Yes","180","High","4.5","7.0","40","60","36","Intolerant","-21","Routinely Available","Yes","Medium"
"LITU","","Liriodendron tulipifera","","High","Rapid","50","120","No","None","Yes","Yes","150","Medium","4.5","6.5","30","80","32","Intolerant","-18","Routinely Available","Yes","Low"
"LIMU6","","Liriope muscari","","High","Moderate","","0.5","No","None","Yes","Yes","150","Low","5.0","8.0","26","60","12","Tolerant","-23","Routinely Available","No","Low"
"LOCA2","","Lobelia cardinalis","","Medium","Moderate","","5.9","No","None","No","Yes","130","Low","5.8","7.8","28","60","12","Tolerant","-34","Routinely Available","Yes","Medium"
"LOPE","","Lolium perenne","","Low","Rapid","","3.5","No","None","No","Yes","100","High","5.0","8.0","30","65","10","Intolerant","-18","Routinely Available","Yes","Low"
"LOPEM2","","Lolium perenne ssp. multiflorum","Cal-IPC, N'EAST, SWSS","Low","Rapid","","2.5","No","None","Yes","Yes","150","Medium","5.0","7.9","18","65","8","Intermediate","-8","Routinely Available","Yes","Low"
"LORI","","Lolium rigidum","","Low","Rapid","","3.5","No","None","Yes","Yes","200","High","5.5","7.5","15","60","10","Intolerant","12","Routinely Available","Yes","Low"
"LOIN5","","Lonicera involucrata","","","Moderate","10","10","No","None","No","Yes","90","High","5.5","8.0","14","32","12","Tolerant","-43","Routinely Available","Yes","High"
"LOJA","","Lonicera japonica","FLEPPC, HEAR, N'EAST, SEEPPC, STATE, SWSS, WI","Medium","Rapid","","1.0","No","None","No","Yes","130","Medium","4.9","7.8","24","60","10","Tolerant","-13","Routinely Available","Yes","Medium"
"LOMA6","","Lonicera maackii","SEEPPC, STATE, WI","High","Moderate","9","16","No","Low","Yes","Yes","100","Medium","5.5","8.0","25","60","16","Intolerant","-33","Routinely Available","Yes","Low"
"LOTA","","Lonicera tatarica","N'EAST, STATE, WI","Medium","Rapid","9","9.0","No","None","Yes","Yes","120","Medium","5.2","7.5","32","50","16","Intermediate","-38","Routinely Available","Yes","Low"
"LOUT2","","Lonicera utahensis","","High","Rapid","2","5.0","No","None","No","Yes","120","High","6.0","8.0","24","60","12","Tolerant","-23","Routinely Available","Yes","Low"
"LOCO6","","Lotus corniculatus","N'EAST, NE&GP","Low","Moderate","","2.4","No","Medium","Yes","Yes","90","Medium","5.0","8.0","16","65","14","Intolerant","-43","Routinely Available","Yes","High"
"LOTE4","","Lotus tenuis","","Low","Moderate","","1.0","No","Medium","Yes","Yes","160","Low","4.5","7.9","25","50","12","Intolerant","-21","Routinely Available","Yes","Medium"
"LUAL3","","Lupinus albicaulis","","Low","Rapid","","3.0","No","High","Yes","Yes","180","Medium","6.0","7.0","35","60","10","Intolerant","47","Routinely Available","Yes","Low"
"LUNO","","Lupinus nootkatensis","","Low","Rapid","","2.0","No","Low","Yes","Yes","120","Medium","6.0","7.0","28","80","12","Intermediate","-35","Routinely Available","Yes","Low"
"LYCA2","","Lycium carolinianum","","High","Slow","3","9.0","No","None","Yes","Yes","250","High","5.5","9.0","24","62","10","Intolerant","17","Routinely Available","Yes","Low"
"LYSA3","","Lycium sandwicense","","High","Moderate","3","1.0","No","None","No","No","365","Medium","5.8","7.2","10","50","12","Intermediate","40","Routinely Available","No","Low"
"LYAM","","Lycopus americanus","NE&GP","High","Moderate","","1.8","No","None","No","Yes","120","High","5.2","7.8","12","60","10","Tolerant","-38","Routinely Available","Yes",""
"LYVI4","","Lycopus virginicus","","Low","Moderate","","4.0","No","None","No","Yes","110","High","5.0","6.3","35","80","6","Tolerant","-33","Routinely Available","Yes","Low"
"LYLU3","","Lyonia lucida","","Medium","Moderate","","6.6","Yes","None","Yes","Yes","200","Medium","3.5","6.0","40","60","20","Tolerant","2","Routinely Available","Yes","Medium"
"MABIB","","Machaeranthera bigelovii var. bigelovii","","High","Rapid","","4.0","No","None","Yes","Yes","160","Low","6.0","8.5","6","18","6","Intolerant","32","Routinely Available","Yes","High"
"MATA2","","Machaeranthera tanacetifolia","","Low","Rapid","","2.0","No","None","No","Yes","110","Medium","6.5","8.5","16","24","8","Intolerant","-33","Routinely Available","Yes",""
"MAPO","","Maclura pomifera","","High","Moderate","20","35","No","None","Yes","Yes","180","Medium","4.5","7.5","24","40","32","Intolerant","-23","Routinely Available","Yes","Low"
"MAAT80","","Macroptilium atropurpureum","","Medium","Rapid","","4.0","Yes","Medium","Yes","Yes","365","Low","5.0","8.0","15","111","24","Intermediate","23","Routinely Available","No","High"
"MAAC","","Magnolia acuminata","","High","Rapid","40","100","No","None","Yes","Yes","160","High","5.2","7.0","35","60","30","Intermediate","-16","Routinely Available","Yes","Low"
"MAGR4","","Magnolia grandiflora","","High","Moderate","40","100","Yes","None","No","Yes","220","High","4.5","6.5","35","60","42","Tolerant","7","Routinely Available","Yes","Low"
"MASO9","","Magnolia ×soulangiana","","High","Moderate","20","30","No","None","No","Yes","160","Medium","5.0","6.2","35","60","24","Intolerant","-8","Routinely Available","Yes",""
"MAST6","","Magnolia stellata","","High","Moderate","20","26","No","None","No","Yes","160","Medium","5.0","6.2","35","60","18","Intolerant","-8","Routinely Available","Yes",""
"MAVI2","","Magnolia virginiana","","High","Moderate","40","60","Yes","None","Yes","Yes","180","High","5.0","6.9","40","80","30","Intermediate","17","Routinely Available","Yes","High"
"MAAQ2","","Mahonia aquifolium","","High","Moderate","8","8.0","Yes","None","Yes","Yes","170","Low","5.0","8.0","20","45","20","Tolerant","-43","Routinely Available","Yes","Medium"
"MARE11","","Mahonia repens","","High","Slow","2","2.0","Yes","None","No","Yes","180","Medium","5.5","7.5","15","45","10","Tolerant","-23","Routinely Available","Yes","Medium"
"MAFL80","","Malus floribunda","","Medium","Moderate","20","25","No","None","No","Yes","130","Medium","5.0","7.8","32","60","30","Intolerant","-43","Routinely Available","Yes","Low"
"MASA9","","Malus sargentii","","High","Moderate","10","10","No","None","Yes","Yes","100","Medium","5.5","7.5","30","60","30","Intolerant","-33","Routinely Available","Yes","Medium"
"MASY2","","Malus sylvestris","","Medium","Moderate","30","40","No","None","Yes","Yes","150","Medium","4.8","7.0","30","50","36","Intolerant","-28","Routinely Available","Yes","High"
"MATO6","","Malus toringo","","","","","","","","","","","","","","","","","","","","",""
"MATO6","MASI80","Malus sieboldii","","High","Moderate","15","25","No","None","Yes","Yes","90","Medium","5.3","7.5","30","60","30","Intolerant","-33","Routinely Available","Yes","Medium"
"MAZU2","","Malus zumi","","","","","","","","","","","","","","","","","","","","",""
"MAZU2","MASIZ","Malus sieboldii var. zumi","","Medium","Moderate","20","25","No","None","No","Yes","100","Medium","4.8","7.5","50","60","30","Intermediate","-33","Routinely Available","Yes","High"
"MAAM2","","Mammea americana","","","Rapid","50","55","Yes","None","Yes","Yes","365","","4.0","8.5","50","100","36","Intolerant","40","Routinely Available","Yes",""
"MAIN3","","Mangifera indica","","High","Moderate","65","65","Yes","None","Yes","Yes","365","Medium","4.0","7.0","60","100","60","Intolerant","17","Routinely Available","Yes","Medium"
"MAES","","Manihot esculenta","","Medium","Rapid","","10","Yes","None","No","Yes","365","Medium","5.0","5.5","60","80","24","Intolerant","17","Routinely Available","Yes",""
"MAZA","","Manilkara zapota","","High","Slow","50","50","Yes","None","Yes","Yes","365","Medium","4.0","7.0","60","100","60","Intermediate","17","Routinely Available","Yes","Medium"
"MELU","","Medicago lupulina","KY, N'EAST, NE&GP, SWSS, WSWS","Low","Moderate","","2.0","No","Medium","No","Yes","110","Medium","5.5","8.0","13","60","12","Intolerant","23","Routinely Available","Yes","Medium"
"MEPO3","","Medicago polymorpha","STATE","Low","Moderate","","1.3","No","High","No","Yes","100","Medium","5.9","8.2","12","75","12","Intolerant","32","Routinely Available","Yes","Medium"
"MESA","","Medicago sativa","SWSS","Low","Rapid","","2.0","No","High","No","Yes","90","High","6.0","8.5","12","65","24","Intolerant","-43","Routinely Available","Yes","High"
"MEAZ","","Melia azedarach","FLEPPC, SEEPPC","High","Rapid","50","50","Yes","None","Yes","Yes","365","Low","4.0","8.0","20","60","60","Intolerant","17","Routinely Available","Yes","Low"
"MEBI","","Melicoccus bijugatus","","High","Moderate","60","60","Yes","None","No","Yes","365","Medium","4.0","7.5","30","100","60","Intermediate","17","Routinely Available","Yes",""
"MEOF","","Melilotus officinalis","NE&GP, SEEPPC, WI, WSWS","Low","Rapid","","6.0","No","Medium","No","Yes","110","Medium","6.5","8.2","17","65","16","Intolerant","-38","Routinely Available","Yes","Low"
"MEOF","MEAL12","Melilotus alba","KY, SEEPPC, SWSS, WI","Low","Rapid","","5.0","No","Medium","Yes","Yes","120","Medium","6.5","8.0","17","60","32","Intolerant","-38","Routinely Available","Yes","Medium"
"MEAR4","","Mentha arvensis","NE&GP","","Moderate","","2.6","No","None","No","Yes","100","Medium","5.0","7.0","20","50","6","Intermediate","-33","Routinely Available","No","Low"
"METR3","","Menyanthes trifoliata","","Medium","Moderate","","0.8","No","None","No","Yes","100","High","4.8","6.5","12","55","10","Intermediate","-33","Routinely Available","Yes",""
"MEVI3","","Mertensia virginica","","","Moderate","","2.3","No","None","No","Yes","100","High","4.5","8.0","26","54","4","Tolerant","-28","Routinely Available","Yes","Medium"
"MEGL8","","Metasequoia glyptostroboides","","High","Rapid","60","100","No","None","No","Yes","200","High","6.2","8.4","24","55","48","Intolerant","-13","Routinely Available","Yes",""
"MEPO5","","Metrosideros polymorpha","","High","Slow","30","65","Yes","None","Yes","Yes","320","Medium","4.3","5.7","20","450","24","Intolerant","22","Routinely Available","Yes",""
"MISC","","Mikania scandens","STATE","Medium","Rapid","","1.0","No","None","No","Yes","110","Medium","5.7","8.7","30","60","16","Tolerant","-38","Routinely Available","Yes","High"
"MIAL2","","Mimulus alatus","","","Rapid","","2.3","No","None","No","Yes","150","High","6.2","7.8","24","60","2","Tolerant","-23","Routinely Available","Yes","High"
"MICA3","","Mimulus cardinalis","","Medium","Moderate","","2.5","No","None","No","Yes","120","High","6.0","7.2","24","45","6","Tolerant","-28","Routinely Available","Yes","Low"
"MIGU","","Mimulus guttatus","","Medium","Rapid","","2.5","No","None","Yes","Yes","110","High","6.0","8.0","10","24","12","Tolerant","-38","Routinely Available","Yes","Low"
"MIPR","","Mimulus primuloides","","Medium","Moderate","","1.5","No","None","No","Yes","100","High","6.0","7.2","24","60","8","Tolerant","-33","Routinely Available","Yes","Low"
"MISI","","Miscanthus sinensis","SEEPPC","Medium","Moderate","","5.0","No","None","Yes","Yes","120","Medium","4.6","7.5","24","55","14","Intolerant","-18","Routinely Available","Yes","Low"
"MOFI","","Monarda fistulosa","NE&GP","","Moderate","","4.9","No","None","No","Yes","150","High","6.0","8.0","20","60","4","Intermediate","-32","Routinely Available","Yes","Medium"
"MOCA6","","Morella californica","","High","Moderate","30","33","Yes","Low","Yes","Yes","240","Medium","6.0","7.5","40","70","20","Intolerant","22","Routinely Available","Yes","Low"
"MOCA7","","Morella caroliniensis","","","Moderate","7","7.0","Yes","None","Yes","Yes","180","Medium","4.5","7.0","44","60","12","Tolerant","-13","Routinely Available","Yes","Low"
"MOCE2","","Morella cerifera","","High","Moderate","10","10","Yes","None","Yes","Yes","155","High","5.4","9.1","34","60","20","Intolerant","-3","Routinely Available","Yes","Low"
"MOIN","","Morella inodora","","","Moderate","23","23","Yes","None","Yes","Yes","240","Medium","4.0","7.5","52","64","12","Tolerant","17","Routinely Available","Yes","Low"
"MOPE6","","Morella pensylvanica","","High","Slow","9","12","No","Medium","Yes","Yes","140","Medium","5.5","7.8","32","65","20","Intolerant","-28","Routinely Available","No","Low"
"MOCI3","","Morinda citrifolia","","Low","Moderate","20","20","Yes","High","Yes","Yes","365","Medium","5.5","7.0","35","100","24","Intermediate","36","Routinely Available","Yes",""
"MOAL","","Morus alba","N'EAST, WI","High","Moderate","30","50","No","None","Yes","Yes","130","Low","5.0","7.0","30","60","24","Intermediate","-18","Routinely Available","Yes","Low"
"MORU2","","Morus rubra","","High","Moderate","45","70","No","None","Yes","Yes","140","Medium","5.0","7.0","35","60","24","Tolerant","-33","Routinely Available","Yes","Low"
"MUCA2","","Muhlenbergia capillaris","","Medium","Moderate","","3.0","No","None","Yes","Yes","120","High","5.8","6.8","30","90","9","Intolerant","7","Routinely Available","Yes","Low"
"MUGL3","","Muhlenbergia glomerata","","Medium","Moderate","","3.0","No","None","No","Yes","100","Medium","5.3","7.5","30","50","8","Intermediate","-33","Routinely Available","Yes","Low"
"MUME2","","Muhlenbergia mexicana","","Medium","Moderate","","3.0","No","None","No","Yes","100","Medium","5.5","7.5","20","50","8","Intermediate","-33","Routinely Available","Yes","Low"
"MURI2","","Muhlenbergia rigens","","High","Moderate","","4.5","No","None","Yes","Yes","334","Low","5.5","7.5","10","18","14","Intermediate","23","Routinely Available","Yes","Low"
"MUWR","","Muhlenbergia wrightii","","Medium","Moderate","","2.0","No","None","Yes","Yes","120","Medium","5.8","7.5","13","20","14","Intolerant","-18","Routinely Available","Yes","High"
"MYSC","","Myosotis scorpioides","WI","Medium","Moderate","","1.5","No","None","No","Yes","130","High","5.5","7.5","24","55","8","Intermediate","-33","Routinely Available","Yes",""
"MYGA","","Myrica gale","","","Moderate","7","6.0","No","Low","No","Yes","95","Medium","5.0","7.8","30","50","14","Tolerant","-33","Routinely Available","Yes",""
"NAFL","","Najas flexilis","","Low","Rapid","","2.5","No","None","Yes","Yes","","High","6.5","7.5","","","","Intermediate","47","Routinely Available","Yes",""
"NADO","","Nandina domestica","FLEPPC","Medium","Rapid","8","8.0","Yes","None","Yes","Yes","165","High","4.5","6.0","35","55","20","Tolerant","2","Routinely Available","Yes","Low"
"NAVI4","","Nassella viridula","","Medium","Rapid","","2.0","No","None","No","Yes","90","Low","6.6","8.4","15","24","14","Intolerant","-38","Routinely Available","Yes","Medium"
"NEAR5","","Nekemias arborea","SWSS","","","","","","","","","","","","","","","","","","","",""
"NEAR5","AMAR5","Ampelopsis arborea","SWSS","","Rapid","","0.1","No","None","Yes","Yes","110","Medium","4.0","8.0","35","60","6","Tolerant","-13","Routinely Available","Yes","Medium"
"NELU","","Nelumbo lutea","STATE","Medium","Moderate","","3.0","No","None","Yes","Yes","130","High","4.6","8.7","","","12","Intolerant","-36","Routinely Available","Yes",""
"NEWI2","","Neonotonia wightii","","Low","Moderate","","2.5","Yes","High","Yes","Yes","350","Medium","5.5","7.8","15","80","12","Intermediate","50","Routinely Available","Yes","High"
"NEOL","","Nerium oleander","","High","Rapid","12","12","Yes","None","Yes","Yes","230","Low","5.5","7.8","14","60","16","Intolerant","14","Routinely Available","Yes",""
"NIOC2","","Nitrophila occidentalis","","High","Moderate","","1.0","No","None","No","Yes","165","Medium","7.0","10.0","8","16","10","Intolerant","-13","Routinely Available","Yes",""
"NULUP","","Nuphar lutea ssp. polysepala","","Medium","Rapid","","4.0","No","None","Yes","Yes","120","High","5.0","8.0","10","40","12","Intolerant","-62","Routinely Available","Yes","Medium"
"NYME","","Nymphaea mexicana","STATE","Medium","Moderate","","","No","None","No","Yes","205","High","5.0","9.0","","","12","Intolerant","-2","Routinely Available","No","High"
"NYAQ2","","Nyssa aquatica","","High","Moderate","30","100","No","None","Yes","Yes","231","High","4.3","5.7","40","60","28","Intolerant","-23","Routinely Available","Yes","Medium"
"NYBI","","Nyssa biflora","","High","Moderate","36","115","No","None","No","Yes","230","High","4.5","5.7","40","60","34","Intolerant","-18","Routinely Available","Yes","Medium"
"NYOG","","Nyssa ogeche","","High","Rapid","40","50","No","None","Yes","Yes","270","High","4.5","6.5","45","60","24","Intolerant","-8","Routinely Available","Yes",""
"NYSY","","Nyssa sylvatica","","High","Moderate","30","95","No","None","Yes","Yes","140","Medium","4.5","6.0","40","60","30","Tolerant","-18","Routinely Available","Yes","Medium"
"OEEL","","Oenothera elata","","Medium","Moderate","","5.0","No","None","Yes","Yes","120","High","5.5","7.5","10","25","8","Intolerant","-23","Routinely Available","Yes","Low"
"ONVI","","Onobrychis viciifolia","","Low","Moderate","","2.5","No","Medium","Yes","Yes","90","Medium","6.0","8.5","10","45","14","Intolerant","-40","Routinely Available","Yes","High"
"OPFI","","Opuntia ficus-indica","","Low","Slow","10","10","Yes","None","Yes","Yes","200","Low","7.0","8.5","8","15","6","Intolerant","-3","Routinely Available","Yes","Low"
"OSCI","","Osmunda cinnamomea","","","Moderate","","4.9","No","None","No","Yes","100","Medium","4.5","7.0","40","60","12","Tolerant","-33","Routinely Available","No","Low"
"OSCL2","","Osmunda claytoniana","","High","Moderate","","4.0","No","None","No","Yes","110","High","4.0","6.0","32","55","12","Tolerant","-38","Routinely Available","No",""
"OSRE","","Osmunda regalis","","High","Moderate","","6.0","No","None","Yes","Yes","110","High","4.0","6.0","32","55","16","Tolerant","-38","Routinely Available","Yes",""
"OSRES","","Osmunda regalis var. spectabilis","","","Rapid","","4.5","No","None","Yes","Yes","110","Medium","4.3","5.2","35","60","14","Tolerant","-33","Routinely Available","Yes",""
"OSAN","","Osteomeles anthyllidifolia","","High","Slow","12","12","Yes","None","Yes","Yes","365","Medium","5.5","7.0","35","80","24","Intermediate","35","Routinely Available","Yes",""
"OSVI","","Ostrya virginiana","","High","Slow","20","45","No","None","Yes","Yes","100","Low","4.2","7.6","18","60","16","Tolerant","-38","Routinely Available","Yes","Medium"
"OXAR","","Oxydendrum arboreum","","High","Slow","20","35","No","None","Yes","Yes","150","Low","4.0","6.5","30","40","30","Tolerant","-13","Routinely Available","Yes","Medium"
"OXDI3","","Oxyria digyna","","Low","Moderate","","1.0","No","None","Yes","Yes","100","Medium","6.0","8.0","30","60","10","Intermediate","-43","Routinely Available","Yes",""
"PATE11","","Pachysandra terminalis","","Medium","Slow","","0.8","Yes","None","Yes","Yes","100","High","5.5","7.5","36","60","12","Tolerant","-28","Routinely Available","No","Low"
"PAAU3","","Packera aurea","","","Moderate","","3.9","No","None","No","Yes","120","High","4.5","8.5","15","55","6","Tolerant","-43","Routinely Available","Yes","Medium"
"PAAM2","","Panicum amarum","","Medium","Moderate","","5.0","No","None","Yes","Yes","180","Medium","5.0","7.5","18","60","16","Intolerant","-18","Routinely Available","Yes","Low"
"PAAN4","","Panicum antidotale","STATE","Medium","Rapid","","6.0","No","None","No","Yes","180","High","6.0","8.0","15","24","18","Intolerant","2","Routinely Available","Yes","Medium"
"PACO2","","Panicum coloratum","","Low","Rapid","","3.5","No","None","No","Yes","190","Medium","6.5","8.5","19","36","16","Intolerant","-23","Routinely Available","Yes","Medium"
"PADI","","Panicum dichotomiflorum","KY, N'EAST, NE&GP, SWSS, WSWS","","Rapid","","3.3","No","None","Yes","Yes","100","High","4.8","7.0","20","65","6","Intolerant","-43","Routinely Available","Yes","High"
"PAMI2","","Panicum miliaceum","N'EAST, NE&GP, STATE, SWSS, WSWS","Medium","Rapid","","3.0","No","None","No","Yes","120","Low","5.8","6.8","25","50","10","Intolerant","47","Routinely Available","Yes","Low"
"PAOB","","Panicum obtusum","","Medium","Rapid","","2.0","No","None","Yes","Yes","150","High","4.8","7.0","8","50","10","Intermediate","-23","Routinely Available","Yes","Low"
"PAVI2","","Panicum virgatum","SWSS","Medium","Rapid","","5.0","No","None","Yes","Yes","120","Medium","4.5","8.0","12","60","12","Intolerant","-43","Routinely Available","Yes","Medium"
"PAQU2","","Parthenocissus quinquefolia","N'EAST, SWSS","High","Rapid","","1.0","No","None","No","Yes","130","Low","5.0","7.5","32","60","16","Intermediate","-28","Routinely Available","Yes","Medium"
"PATR6","","Parthenocissus tricuspidata","","High","Rapid","","2.0","No","None","Yes","Yes","110","High","5.0","6.5","35","60","14","Tolerant","-28","Routinely Available","Yes","Low"
"PASM","","Pascopyrum smithii","","Medium","Rapid","","2.0","No","None","No","Yes","90","Medium","4.5","9.0","8","36","20","Intolerant","-43","Routinely Available","Yes","Medium"
"PADI3","","Paspalum dilatatum","N'EAST, SWSS, WSWS","Medium","Moderate","","3.0","No","None","No","Yes","165","High","4.9","6.5","35","60","6","Intermediate","-3","Routinely Available","Yes","Medium"
"PADI6","","Paspalum distichum","","Medium","Rapid","","0.9","No","None","No","Yes","220","High","4.9","8.9","30","64","4","Intolerant","-13","Routinely Available","Yes","High"
"PANOS","","Paspalum notatum var. saurae","","Medium","Rapid","","2.0","Yes","None","Yes","Yes","210","Low","4.5","6.5","36","65","20","Intermediate","-3","Routinely Available","Yes","High"
"PAVA","","Paspalum vaginatum","","Low","Moderate","","0.1","No","None","No","Yes","269","High","5.1","6.7","40","60","6","Intolerant","15","Routinely Available","Yes",""
"PATO2","","Paulownia tomentosa","SEEPPC","High","Rapid","60","70","No","None","Yes","Yes","180","Medium","4.5","7.5","30","55","36","Intolerant","-8","Routinely Available","Yes",""
"PEGR2","","Pedicularis groenlandica","","Medium","Moderate","","2.5","No","None","No","Yes","90","High","5.8","7.2","10","50","8","Intermediate","-33","Routinely Available","Yes","Low"
"PEVI","","Peltandra virginica","","","Slow","","2.3","No","None","Yes","Yes","110","High","5.0","8.8","35","60","16","Intermediate","-23","Routinely Available","Yes",""
"PEAL","","Pennisetum alopecuroides","","Medium","Moderate","","3.0","No","None","Yes","Yes","160","Low","5.0","7.0","32","60","10","Intolerant","-18","Routinely Available","Yes","Low"
"PECI","","Pennisetum ciliare","STATE","Medium","Rapid","","3.0","No","None","Yes","Yes","240","Low","6.0","8.5","14","35","20","Intolerant","7","Routinely Available","Yes","High"
"PEFL18","","Pennisetum flaccidum","","Medium","Moderate","","3.8","No","None","Yes","Yes","200","Medium","5.5","7.0","32","50","16","Intolerant","2","Routinely Available","Yes","Medium"
"PEGL2","","Pennisetum glaucum","","Medium","Rapid","","6.0","No","None","Yes","Yes","200","Low","5.5","6.8","30","50","10","Intolerant","-35","Routinely Available","Yes","High"
"PEPU2","","Pennisetum purpureum","FLEPPC","Medium","Rapid","","10","No","None","Yes","Yes","365","Medium","5.2","8.7","36","100","14","Intolerant","17","Routinely Available","Yes","Medium"
"PESE3","","Pennisetum setaceum","Cal-IPC, HEAR, STATE","High","Moderate","","3.5","No","None","Yes","Yes","280","Low","6.0","7.5","18","40","12","Intolerant","17","Routinely Available","Yes","Low"
"PECY2","","Penstemon cyananthus","","Medium","Slow","","2.5","No","None","Yes","Yes","110","Medium","5.8","7.4","16","35","14","Intolerant","-23","Routinely Available","Yes","Low"
"PEDI","","Penstemon digitalis","","High","Moderate","","4.0","No","None","Yes","Yes","110","Low","5.5","7.0","30","55","8","Tolerant","-38","Routinely Available","Yes","Medium"
"PERY","","Penstemon rydbergii","","Medium","Moderate","","3.0","No","None","No","Yes","130","Low","6.0","8.0","20","30","14","Intolerant","-38","Routinely Available","Yes","Medium"
