"Accepted Symbol","Synonym Symbol","Scientific Name","Invasive","C:N Ratio","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Commercial Availability","Propogated by Seed","Palatable Browse Animal"
"RAAB","","Ranunculus abortivus","KY, NE&GP","","Moderate","","2.8","No","None","No","Yes","110","Medium","5.0","7.5","16","58","4","Tolerant","-43","Routinely Available","Yes","Low"
"RAFL2","","Ranunculus flammula","","Medium","Moderate","","1.5","No","None","No","Yes","100","High","6.0","7.5","12","24","10","Tolerant","-33","Routinely Available","Yes",""
"RAHI","","Ranunculus hispidus","","","Rapid","","2.5","No","None","No","Yes","130","Medium","4.5","8.0","34","68","4","Tolerant","-33","Routinely Available","Yes","Medium"
"RALO2","","Ranunculus longirostris","","Medium","Moderate","","1.0","No","None","No","Yes","110","High","5.0","8.0","12","55","10","Tolerant","-28","Routinely Available","Yes",""
"RAPE2","","Ranunculus pensylvanicus","","","Moderate","","3.9","No","None","No","Yes","120","High","5.0","7.5","10","50","4","Tolerant","-28","Routinely Available","Yes","Medium"
"RARE3","","Ranunculus repens","WSWS","Medium","Rapid","","2.0","No","None","No","Yes","120","Medium","5.6","7.2","19","69","6","Tolerant","-28","Routinely Available","Yes","Medium"
"RACO3","","Ratibida columnifera","","Medium","Moderate","","3.1","No","None","Yes","Yes","90","Medium","5.9","7.0","16","40","14","Intolerant","-43","Routinely Available","Yes","Medium"
"RAPI","","Ratibida pinnata","","Medium","Moderate","","4.0","No","None","Yes","Yes","100","Medium","5.6","6.8","18","60","14","Intolerant","-38","Routinely Available","Yes","Medium"
"RHAL","","Rhamnus alnifolia","","","Moderate","2","3.0","No","None","No","Yes","100","High","4.0","8.0","10","50","12","Tolerant","-33","Routinely Available","Yes","High"
"RHAR3","","Rhododendron arborescens","","High","Moderate","18","18","No","None","Yes","Yes","185","Medium","4.2","5.7","36","55","12","Tolerant","-13","Routinely Available","Yes","Medium"
