,Accepted Symbol,Synonym Symbol,Scientific Name,Growth Habit,Invasive,Bloat,C:N Ratio,Coppice Potential,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Shade Tolerance,"Temperature, Minimum (°F)",Commercial Availability,Propogated by Seed,Fodder Product,Palatable Browse Animal,Palatable Graze Animal,Protein Potential,Sheffields Aval
36199,PODA,,Polygonum davisiae,"Subshrub, Forb/herb",,None,High,No,Moderate,,1.3,Moderate,None,Yes,Yes,No,Low,6.4,7.8,2700.0,14.0,30.0,14.0,Intermediate,-23.0,No Known Source,Yes,No,Low,Low,Low,False
36200,PODO4,,Polygonum douglasii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36201,PODOA2,,Polygonum douglasii ssp. austiniae,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36202,PODOD4,,Polygonum douglasii ssp. douglasii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36203,PODOE,,Polygonum douglasii ssp. engelmannii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36204,PODOJ2,,Polygonum douglasii ssp. johnstonii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36205,PODOM2,,Polygonum douglasii ssp. majus,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36206,PODON,,Polygonum douglasii ssp. nuttallii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36207,PODOS2,,Polygonum douglasii ssp. spergulariiforme,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36208,POEQ2,,Polygonum equisetiforme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36209,POER2,,Polygonum erectum,Forb/herb,WSWS,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36210,POEX2,,Polygonum extremiorientale,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36211,POFO2,,Polygonum fowleri,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36212,POFOF7,,Polygonum fowleri ssp. fowleri,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36213,POFOH,,Polygonum fowleri ssp. hudsonianum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36214,POGL10,,Polygonum glabrum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36215,POGL7,,Polygonum glaucum,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36216,POHE18,,Polygonum herniarioides,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36217,POHE2,,Polygonum heterosepalum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36218,POHI14,,Polygonum hickmanii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36219,POHI3,,Polygonum hirsutum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36220,POHI2,,Polygonum hispidum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36221,POHY,,Polygonum hydropiper,Forb/herb,,None,Low,No,Rapid,,1.6,,None,Yes,Yes,Yes,High,5.0,7.5,,24.0,60.0,6.0,Intolerant,52.0,Routinely Available,Yes,No,,,,False
36222,POHY2,,Polygonum hydropiperoides,Forb/herb,,None,,No,Slow,,,Moderate,None,No,Yes,Yes,Medium,4.5,8.8,,12.0,50.0,10.0,Intolerant,32.0,Routinely Available,Yes,No,Low,,,False
36223,POLA22,,Polygonum lacerum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36224,POLA4,,Polygonum lapathifolium,Forb/herb,"NE&GP, SWSS, WSWS",,,,,,,,,,,,,,,,,,,,,,,,,,,False
36225,POLE6,,Polygonum leptocarpum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36226,POMA15,,Polygonum marinense,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36227,POME4,,Polygonum meisnerianum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36228,POMEB,,Polygonum meisnerianum var. beyrichianum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36229,POMI2,,Polygonum minimum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36230,POMI21,,Polygonum minus,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36231,POMU13,,Polygonum multiflorum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36232,PONE9,,Polygonum nepalense,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36233,POOR2,,Polygonum orientale,Forb/herb,SEEPPC,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36234,POOX2,,Polygonum oxyspermum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36235,POPA7,,Polygonum paronychia,Subshrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36236,POPA33,,Polygonum paronychioides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36237,POPA8,,Polygonum parryi,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36238,POPA9,,Polygonum patulum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36239,POPE2,,Polygonum pensylvanicum,Forb/herb,"KY, N'EAST, NE&GP, SWSS",None,Medium,No,Moderate,,3.9,,None,Yes,Yes,Yes,Medium,4.0,8.5,,12.0,60.0,14.0,Intolerant,32.0,Routinely Available,Yes,No,,Low,,False
36240,POPE10,,Polygonum perfoliatum,"Forb/herb, Vine","N'EAST, STATE",,,,,,,,,,,,,,,,,,,,,,,,,,,False
36241,POPE3,,Polygonum persicaria,Forb/herb,"SEEPPC, SWSS, WSWS",None,,No,Rapid,,3.2,Short,None,Yes,Yes,Yes,Medium,4.0,8.5,,14.0,60.0,14.0,Intolerant,32.0,Routinely Available,Yes,No,,Low,,False
36242,POPH,,Polygonum phytolaccifolium,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36243,POPL9,,Polygonum plebeium,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36244,POPO3,,Polygonum polycnemoides,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36245,POPOO3,,Polygonum polycnemoides var. oliveri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36246,POPO4,,Polygonum polygaloides,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36247,POPOC,,Polygonum polygaloides ssp. confertiflorum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36248,POPOE,,Polygonum polygaloides ssp. esotericum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36249,POPOK,,Polygonum polygaloides ssp. kelloggii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36250,POPOP3,,Polygonum polygaloides ssp. polygaloides,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36251,POPO5,,Polygonum polystachyum,Forb/herb,STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36252,POPU5,,Polygonum punctatum,Forb/herb,,None,,No,Moderate,,3.2,Short,None,Yes,Yes,Yes,Medium,6.0,8.7,,12.0,60.0,14.0,Intolerant,32.0,Routinely Available,Yes,No,,Low,,False
36253,POPUC2,,Polygonum punctatum var. confertiflorum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36254,POPUP4,,Polygonum punctatum var. punctatum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36255,PORA6,,Polygonum raii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36256,PORA3,,Polygonum ramosissimum,Forb/herb,NE&GP,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36257,PORAP,,Polygonum ramosissimum var. prolificum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36258,PORAR,,Polygonum ramosissimum var. ramosissimum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36259,PORO,,Polygonum robustius,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36260,POSA4,,Polygonum sachalinense,Forb/herb,"SEEPPC, STATE",,,,,,,,,,,,,,,,,,,,,,,,,,,False
36261,POSA5,,Polygonum sagittatum,"Vine, Forb/herb",,None,,No,Rapid,,1.0,Moderate,None,Yes,Yes,Yes,Medium,4.0,8.5,,40.0,60.0,6.0,Intolerant,-13.0,Routinely Available,Yes,No,,Low,,False
36262,POSA23,,Polygonum salicifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36263,POSC3,,Polygonum scandens,"Vine, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36264,POSCC,,Polygonum scandens var. cristatum,"Vine, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36265,POSCD,,Polygonum scandens var. dumetorum,"Vine, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36266,POSCS,,Polygonum scandens var. scandens,"Vine, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36267,POSE4,,Polygonum segetum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36268,POSE6,,Polygonum setaceum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36269,POSH,,Polygonum shastense,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36270,POST7,,Polygonum striatulum,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36271,POTE2,,Polygonum tenue,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36272,POVI2,,Polygonum virginianum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36273,POVI3,,Polygonum viviparum,Forb/herb,,None,Low,No,Moderate,,1.0,Moderate,None,Yes,Yes,Yes,High,6.5,9.0,4800.0,12.0,30.0,14.0,Intolerant,-38.0,No Known Source,Yes,No,,,,False
36274,POLYM2,,Polymeridium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36275,POAL16,,Polymeridium albidum,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36276,POAL27,,Polymeridium albocinereum,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36277,POCA38,,Polymeridium catapastum,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36278,POCO31,,Polymeridium contendens,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36279,POPR18,,Polymeridium proponens,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36280,POQU3,,Polymeridium quinqueseptatum,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36281,POSU13,,Polymeridium subcinereum,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36282,POLYM,,Polymnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36283,POCA11,,Polymnia canadensis,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36284,POCO25,,Polymnia cossatotensis,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36285,POJO3,,Polymnia johnbeckii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36286,POLA8,,Polymnia laevigata,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36287,POSO4,,Polymnia sonchifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36288,POLYP,,Polypodium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36289,POAM7,,Polypodium amorphum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36290,POAP,,Polypodium appalachianum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36291,POAT2,,Polypodium attenuatum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36292,POCA12,,Polypodium californicum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36293,POCA26,,Polypodium calirhiza,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36294,POCA53,,Polypodium cambricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36295,PODI4,,Polypodium dissimile,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36296,PODU7,,Polypodium dulce,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36297,POGL8,,Polypodium glycyrrhiza,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36298,POHE3,,Polypodium hesperium,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36299,POIN6,,Polypodium ×incognitum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36300,POLA9,,Polypodium lanceolatum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36301,POLO5,,Polypodium loriceum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36302,POPE5,,Polypodium pellucidum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36303,POPEP2,,Polypodium pellucidum var. pellucidum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36304,POPEV,,Polypodium pellucidum var. vulcanicum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36305,POSA19,,Polypodium saximontanum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36306,POSC4,,Polypodium scouleri,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36307,POSI5,,Polypodium sibiricum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36308,POTR8,,Polypodium triseriale,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36309,POVI7,,Polypodium virginianum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36310,POLYP2,,Polypogon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36311,POAU3,,Polypogon australis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36312,POEL,,Polypogon elongatus,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36313,POFU7,,Polypogon fugax,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36314,POIM3,,Polypogon imberbis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36315,POIN7,,Polypogon interruptus,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36316,POMA10,,Polypogon maritimus,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36317,POMO5,,Polypogon monspeliensis,Graminoid,WSWS,None,Low,No,Rapid,,1.7,,None,Yes,Yes,Yes,High,4.8,7.8,,12.0,55.0,10.0,Intolerant,52.0,Routinely Available,Yes,Yes,Low,Low,Low,False
36318,POVI9,,Polypogon viridis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36319,POLYP3,,Polypremum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36320,POPR4,,Polypremum procumbens,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36321,POLYS4,,Polyscias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36322,POCU14,,Polyscias cumingiana,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36323,POFR5,,Polyscias fruticosa,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36324,POGR28,,Polyscias grandifolia,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36325,POGU,,Polyscias guilfoylei,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36326,POSC10,,Polyscias scutellaria,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36327,POSU20,,Polyscias subcapitata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36328,POTR24,,Polyscias tricochleata,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36329,POLYS5,,Polysporina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36330,POLA18,,Polysporina lapponica,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36331,POSI8,,Polysporina simplex,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36332,POUR2,,Polysporina urceolata,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36333,POLYS3,,Polystachya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36334,POCO27,,Polystachya concreta,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36335,POFO4,,Polystachya foliosa,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36336,POLYS,,Polystichum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36337,POAC4,,Polystichum acrostichoides,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36338,POACA,,Polystichum acrostichoides var. acrostichoides,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36339,POACL,,Polystichum acrostichoides var. lonchitoides,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36340,POAL6,,Polystichum aleuticum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36341,POAN2,,Polystichum andersonii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36342,POBO8,,Polystichum bonseyi,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36343,POBR4,,Polystichum braunii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36344,POCA27,,Polystichum calderonense,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36345,POCA25,,Polystichum californicum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36346,PODU2,,Polystichum dudleyi,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36347,POEC,,Polystichum echinatum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36348,POHA8,,Polystichum ×hagenahii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36349,POHA,,Polystichum haleakalense,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36350,POHI7,,Polystichum hillebrandii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36351,POIM,,Polystichum imbricans,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36352,POIMC,,Polystichum imbricans ssp. curtum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36353,POIMI,,Polystichum imbricans ssp. imbricans,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36354,POKR,,Polystichum kruckebergii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36355,POKW,,Polystichum kwakiutlii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36356,POLE5,,Polystichum lemmonii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36357,POLO4,,Polystichum lonchitis,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36358,POMI5,,Polystichum microchlamys,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36359,POMU,,Polystichum munitum,Forb/herb,,None,High,No,Moderate,,3.5,Long,None,No,Yes,No,High,5.8,7.5,2700.0,16.0,55.0,14.0,Tolerant,-33.0,Contracting Only,No,No,,,,False
36360,POMU61,,Polystichum muricatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36361,POPL3,,Polystichum platyphyllum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36362,POPO22,,Polystichum polyblepharum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36363,POPO7,,Polystichum polystichiforme,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36364,POPO8,,Polystichum ×potteri,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36365,PORH2,,Polystichum rhizophyllum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36366,POSC5,,Polystichum scopulinum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36367,POSE5,,Polystichum setigerum,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36368,POTS,,Polystichum tsus-simense,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36369,POLYT,,Polytaenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36370,POAL29,,Polytaenia albiflora,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36371,PONU4,,Polytaenia nuttallii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36372,POTE3,,Polytaenia texana,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36373,POLYT8,,Polytoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36374,POMA40,,Polytoca macrophylla,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36375,POLYT3,,Polytrias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36376,POIN31,,Polytrias indica,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36377,POLYT7,,Polytrichastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36378,POAL24,,Polytrichastrum alpinum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36379,POALA2,,Polytrichastrum alpinum var. alpinum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36380,POALF,,Polytrichastrum alpinum var. fragile,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36381,POLYT5,,Polytrichum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36382,POAP4,,Polytrichum appalachianum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36383,POCO38,,Polytrichum commune,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36384,POCOC5,,Polytrichum commune var. commune,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36385,POCOJ,,Polytrichum commune var. jensenii,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36386,POCOP5,,Polytrichum commune var. perigoniale,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36387,POFO6,,Polytrichum formosum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36388,POHY70,,Polytrichum hyperboreum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36389,POJU70,,Polytrichum juniperinum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36390,POLO18,,Polytrichum longisetum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36391,POLY2,,Polytrichum lyallii,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36392,POOH,,Polytrichum ohioense,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36393,POPA29,,Polytrichum pallidisetum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36394,POPA30,,Polytrichum papillatum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36395,POPI10,,Polytrichum piliferum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36396,POSE16,,Polytrichum sexangulare,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36397,POSP13,,Polytrichum sphaerothecium,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36398,POST70,,Polytrichum strictum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36399,POSW,,Polytrichum swartzii,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36400,POMAR,,Pomaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36401,POAU15,,Pomaria austrotexana,Subshrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36402,POBR21,,Pomaria brachycarpa,"Forb/herb, Shrub, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36403,POJA5,,Pomaria jamesii,"Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36404,POME16,,Pomaria melanosticta,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36405,PONCI,,Poncirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36406,POTR4,,Poncirus trifoliata,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36407,PONTE,,Pontederia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36408,POCO14,,Pontederia cordata,Forb/herb,SWSS,None,,No,Moderate,,3.2,Moderate,None,Yes,Yes,Yes,High,4.9,8.7,3700.0,40.0,60.0,10.0,Intolerant,-23.0,Routinely Available,Yes,No,,Medium,,False
36409,PORO12,,Pontederia rotundifolia,,STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36410,PONTH,,Ponthieva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36411,POBR9,,Ponthieva brittoniae,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36412,PORA4,,Ponthieva racemosa,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36413,POVE2,,Ponthieva ventricosa,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36414,POPUL,,Populus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36415,POAC5,,Populus ×acuminata,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36416,POAL7,,Populus alba,Tree,"SEEPPC, WI",None,High,Yes,Rapid,80.0,100.0,Moderate,None,Yes,Yes,Yes,High,4.9,7.0,300.0,24.0,55.0,24.0,Intolerant,-38.0,Routinely Available,Yes,No,Medium,Low,Low,False
36417,POAN3,,Populus angustifolia,Tree,,None,High,Yes,Rapid,60.0,60.0,Moderate,None,Yes,Yes,No,High,6.0,7.5,700.0,20.0,35.0,12.0,Intolerant,-28.0,Routinely Available,Yes,No,Medium,High,Low,False
36418,POBA2,,Populus balsamifera,Tree,,None,High,Yes,Rapid,35.0,80.0,Moderate,None,Yes,Yes,Yes,High,4.5,7.0,800.0,6.0,70.0,30.0,Intolerant,-79.0,Routinely Available,Yes,No,Medium,Low,,True
36419,POBAB2,,Populus balsamifera ssp. balsamifera,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36420,POBAT,,Populus balsamifera ssp. trichocarpa,Tree,,None,High,Yes,Rapid,40.0,100.0,Moderate,None,Yes,Yes,Yes,High,5.5,8.0,800.0,10.0,125.0,30.0,Intolerant,-53.0,Routinely Available,Yes,No,Medium,Low,,False
36421,POBE2,,Populus ×berolinensis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36422,POBR7,,Populus ×brayshawii,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36423,POCA19,,Populus ×canadensis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
36424,POCA14,,Populus ×canescens,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
